original_id,title,organization,ckan_id,status,error_message,upload_time
1,Timber-focused Evaluation of Partial Cutting in BC Under the Forest and Range Evaluation Program,BC Ministry of Forests,b7a3b3b3-67bb-4382-a6e0-e4fde67ac31c,Success,,2025-04-01 10:38:41
2,"Roberts Creek Study Forest: Harvesting, windthrow, and conifer regeneration within alternative silviculture systems",BC Ministry of Forests,09820eb3-3be7-4b4e-bdd2-ea4e7d769871,Success,,2025-04-01 10:38:49
3,Forest Carbon and Management Options in an Uncertain Climate,BC Ministry of Forests,472867c5-a04d-445f-bbb2-061a88c90577,Success,,2025-04-01 10:38:53
4,Natural regeneration of lodgepole pine following partial harvesting on northern caribou winter range in west-central British Columbia,BC Ministry of Forests,d45b499f-a127-4f94-877b-1eb7494ba045,Success,,2025-04-01 10:38:56
5,Southern Interior Forest Region: Forest Health Stand Establishment Decision Aids,BC Ministry of Forests,b471b96d-40dd-4f4b-b57b-9b7e89ef47e8,Success,,2025-04-01 10:39:00
6,"Successional Responses to Natural Disturbance, Forest Management, and Climate Change in British Columbia's Forests",BC Ministry of Forests,6b06eca9-86f8-4496-a6b3-b327b50046d2,Success,,2025-04-01 10:39:02
7,"Future Fire Risk and The Greenhouse Gas Mitigation Potential of Forest Rehabilitation in British Columbia, Canada",BC Ministry of Forests,0550f41a-e25d-4e5f-b3e8-13e2a9b4d891,Success,,2025-04-01 10:39:05
8,Maintaining attributes of old-growth forests in coastal B.C. through variable retention,BC Ministry of Forests,c85df1a3-b7da-4f2f-9fe0-ff1d6b838726,Success,,2025-04-01 10:39:05
9,Adapting forest and range management to climate change in the Skeena Region: Considerations for practitioners and Government staff,BC Ministry of Forests,bd59b3a0-28dd-47fc-ba4a-a2b91be19dfb,Success,,2025-04-01 10:39:07
10,Comparing Clearcutting and Alternatives in a High-elevation Forest: Early Results from Sicamous Cree,FORREX,61f8038b-e2ac-4330-be3c-08ea6b3c9944,Success,,2025-04-01 10:39:09
